location,zika_total
CUNDINAMARCA,0
CUNDINAMARCA,0
CUNDINAMARCA,0
CUNDINAMARCA,47
CUNDINAMARCA,1
CUNDINAMARCA,0
CUNDINAMARCA,0
CUNDINAMARCA,0
CUNDINAMARCA,1603
CUNDINAMARCA,2
CUNDINAMARCA,1
CUNDINAMARCA,42
CUNDINAMARCA,0
CUNDINAMARCA,3
CUNDINAMARCA,0
CUNDINAMARCA,2
CUNDINAMARCA,0
CUNDINAMARCA,0
CUNDINAMARCA,12
CUNDINAMARCA,0
CUNDINAMARCA,1
CUNDINAMARCA,261
CUNDINAMARCA,22
CUNDINAMARCA,17
CUNDINAMARCA,27
CUNDINAMARCA,0
CUNDINAMARCA,0
CUNDINAMARCA,2
CUNDINAMARCA,0
CUNDINAMARCA,0
CUNDINAMARCA,0
CUNDINAMARCA,17
CUNDINAMARCA,0
CUNDINAMARCA,65
CUNDINAMARCA,3
CUNDINAMARCA,10
CUNDINAMARCA,0
CUNDINAMARCA,8
CUNDINAMARCA,13
CUNDINAMARCA,9
CUNDINAMARCA,5
CUNDINAMARCA,0
CUNDINAMARCA,14
CUNDINAMARCA,4
CUNDINAMARCA,8
CUNDINAMARCA,1
CUNDINAMARCA,5
CUNDINAMARCA,48
CUNDINAMARCA,107
CUNDINAMARCA,6
CUNDINAMARCA,3
CUNDINAMARCA,0
CUNDINAMARCA,6
CUNDINAMARCA,14
CUNDINAMARCA,48
CUNDINAMARCA,0
CUNDINAMARCA,0
CUNDINAMARCA,12
CUNDINAMARCA,0
CUNDINAMARCA,4
CUNDINAMARCA,0
CUNDINAMARCA,0
CUNDINAMARCA,0
CUNDINAMARCA,0
CUNDINAMARCA,0
CUNDINAMARCA,0
CUNDINAMARCA,2
CUNDINAMARCA,0
CUNDINAMARCA,39
CUNDINAMARCA,0
CUNDINAMARCA,10
CUNDINAMARCA,0
CUNDINAMARCA,98
CUNDINAMARCA,0
CUNDINAMARCA,6
CUNDINAMARCA,1
CUNDINAMARCA,0
CUNDINAMARCA,3
CUNDINAMARCA,0
CUNDINAMARCA,17
CUNDINAMARCA,2
CUNDINAMARCA,1
CUNDINAMARCA,2
CUNDINAMARCA,1
CUNDINAMARCA,105
CUNDINAMARCA,30
CUNDINAMARCA,1
CUNDINAMARCA,0
CUNDINAMARCA,2
CHOCO,4
CHOCO,4
CHOCO,3
CHOCO,0
CHOCO,0
CHOCO,0
CHOCO,0
CHOCO,1
CHOCO,0
CHOCO,0
CHOCO,0
CHOCO,0
CHOCO,1
CHOCO,1
CHOCO,0
CHOCO,0
CHOCO,1
CHOCO,0
CHOCO,1
CHOCO,0
CHOCO,0
CHOCO,0
CHOCO,0
CHOCO,0
CHOCO,0
CHOCO,0
CHOCO,0
CHOCO,0
CHOCO,0
CHOCO,0
CHOCO,1
CHOCO,0
HUILA,32
HUILA,2884
HUILA,11
HUILA,28
HUILA,182
HUILA,30
HUILA,22
HUILA,20
HUILA,127
HUILA,14
HUILA,9
HUILA,354
HUILA,226
HUILA,54
HUILA,23
HUILA,22
HUILA,1
HUILA,1
HUILA,10
HUILA,1
HUILA,3
HUILA,4
HUILA,143
HUILA,1
HUILA,10
HUILA,60
HUILA,74
HUILA,0
HUILA,3
HUILA,70
HUILA,61
HUILA,7
HUILA,17
HUILA,15
HUILA,8
HUILA,68
HUILA,11
HUILA,26
GUAJIRA,14
GUAJIRA,169
GUAJIRA,45
GUAJIRA,36
GUAJIRA,17
GUAJIRA,14
GUAJIRA,5
GUAJIRA,34
GUAJIRA,7
GUAJIRA,0
GUAJIRA,20
GUAJIRA,8
GUAJIRA,79
GUAJIRA,18
GUAJIRA,1
GUAJIRA,11
STA MARTA D.E.,1636
MAGDALENA,13
MAGDALENA,36
MAGDALENA,32
MAGDALENA,4
MAGDALENA,0
MAGDALENA,2
MAGDALENA,282
MAGDALENA,2
MAGDALENA,28
MAGDALENA,39
MAGDALENA,11
MAGDALENA,90
MAGDALENA,7
MAGDALENA,6
MAGDALENA,0
MAGDALENA,2
MAGDALENA,31
MAGDALENA,55
MAGDALENA,9
MAGDALENA,0
MAGDALENA,41
MAGDALENA,11
MAGDALENA,6
MAGDALENA,19
MAGDALENA,2
MAGDALENA,13
MAGDALENA,24
MAGDALENA,43
MAGDALENA,41
MAGDALENA,36
META,9
META,253
META,153
META,2
META,4
META,5
META,1
META,3
META,0
META,2
META,1
META,12
META,78
META,25
META,3
META,1
META,2
META,0
META,0
META,0
META,3
META,12
META,5
META,19
META,4
META,17
META,3
META,0
META,27
META,2
NARIÑO,0
NARIÑO,3
NARIÑO,0
NARIÑO,0
NARIÑO,0
NARIÑO,0
NARIÑO,1
NARIÑO,0
NARIÑO,1
NARIÑO,0
NARIÑO,0
NARIÑO,0
NARIÑO,0
NARIÑO,0
NARIÑO,0
NARIÑO,0
NARIÑO,0
NARIÑO,0
NARIÑO,0
NARIÑO,0
NARIÑO,0
NARIÑO,0
NARIÑO,0
NARIÑO,0
NARIÑO,0
NARIÑO,0
NARIÑO,0
NARIÑO,0
NARIÑO,2
NARIÑO,0
NARIÑO,0
NARIÑO,0
NARIÑO,0
NARIÑO,0
NARIÑO,0
NARIÑO,0
NARIÑO,0
NARIÑO,0
NARIÑO,0
NARIÑO,0
NARIÑO,2
NARIÑO,0
NARIÑO,0
NARIÑO,1
NARIÑO,0
NARIÑO,0
NARIÑO,1
NARIÑO,0
NARIÑO,0
NARIÑO,0
NARIÑO,0
NARIÑO,0
NARIÑO,1
NARIÑO,0
NARIÑO,0
NARIÑO,0
NARIÑO,0
NARIÑO,1
NARIÑO,0
NARIÑO,0
NARIÑO,5
NARIÑO,0
NARIÑO,4
NARIÑO,0
NARIÑO,1
NORTE SANTANDER,14
NORTE SANTANDER,5126
NORTE SANTANDER,10
NORTE SANTANDER,39
NORTE SANTANDER,46
NORTE SANTANDER,2
NORTE SANTANDER,0
NORTE SANTANDER,2
NORTE SANTANDER,50
NORTE SANTANDER,1
NORTE SANTANDER,1
NORTE SANTANDER,11
NORTE SANTANDER,46
NORTE SANTANDER,6
NORTE SANTANDER,26
NORTE SANTANDER,201
NORTE SANTANDER,16
NORTE SANTANDER,1
NORTE SANTANDER,0
NORTE SANTANDER,19
NORTE SANTANDER,7
NORTE SANTANDER,7
NORTE SANTANDER,731
NORTE SANTANDER,2
NORTE SANTANDER,0
NORTE SANTANDER,71
NORTE SANTANDER,3
NORTE SANTANDER,3
NORTE SANTANDER,41
NORTE SANTANDER,6
NORTE SANTANDER,53
NORTE SANTANDER,1
NORTE SANTANDER,33
NORTE SANTANDER,109
NORTE SANTANDER,132
NORTE SANTANDER,0
NORTE SANTANDER,4
NORTE SANTANDER,148
NORTE SANTANDER,6
NORTE SANTANDER,2
NORTE SANTANDER,596
QUINDIO,5
QUINDIO,27
QUINDIO,0
QUINDIO,0
QUINDIO,4
QUINDIO,1
QUINDIO,2
QUINDIO,0
QUINDIO,9
QUINDIO,14
QUINDIO,0
QUINDIO,9
QUINDIO,0
RISARALDA,0
RISARALDA,94
RISARALDA,0
RISARALDA,2
RISARALDA,4
RISARALDA,20
RISARALDA,0
RISARALDA,7
RISARALDA,227
RISARALDA,5
RISARALDA,1
RISARALDA,1
RISARALDA,1
RISARALDA,1
RISARALDA,3
SANTANDER,2
SANTANDER,306
SANTANDER,0
SANTANDER,0
SANTANDER,0
SANTANDER,4
SANTANDER,4
SANTANDER,220
SANTANDER,0
SANTANDER,0
SANTANDER,0
SANTANDER,0
SANTANDER,79
SANTANDER,0
SANTANDER,0
SANTANDER,0
SANTANDER,1
SANTANDER,0
SANTANDER,0
SANTANDER,0
SANTANDER,10
SANTANDER,1
SANTANDER,0
SANTANDER,0
SANTANDER,0
SANTANDER,1
SANTANDER,0
SANTANDER,0
SANTANDER,0
SANTANDER,14
SANTANDER,0
SANTANDER,0
SANTANDER,0
SANTANDER,91
SANTANDER,0
SANTANDER,0
SANTANDER,69
SANTANDER,0
SANTANDER,3
SANTANDER,0
SANTANDER,0
SANTANDER,1
SANTANDER,0
SANTANDER,1
SANTANDER,0
SANTANDER,1
SANTANDER,0
SANTANDER,0
SANTANDER,25
SANTANDER,2
SANTANDER,0
SANTANDER,1
SANTANDER,1
SANTANDER,0
SANTANDER,0
SANTANDER,0
SANTANDER,1
SANTANDER,0
SANTANDER,1
SANTANDER,0
SANTANDER,2
SANTANDER,30
SANTANDER,0
SANTANDER,1
SANTANDER,0
SANTANDER,11
SANTANDER,11
SANTANDER,66
SANTANDER,26
SANTANDER,0
SANTANDER,5
SANTANDER,2
SANTANDER,0
SANTANDER,2
SANTANDER,5
SANTANDER,0
SANTANDER,0
SANTANDER,2
SANTANDER,12
SANTANDER,1
SANTANDER,0
SANTANDER,0
SANTANDER,0
SANTANDER,1
SANTANDER,2
SANTANDER,0
SANTANDER,0
SANTANDER,2
SUCRE,6
SUCRE,737
SUCRE,39
SUCRE,0
SUCRE,13
SUCRE,124
SUCRE,25
SUCRE,5
SUCRE,5
SUCRE,1
SUCRE,3
SUCRE,21
SUCRE,1
SUCRE,9
SUCRE,36
SUCRE,6
SUCRE,6
SUCRE,29
SUCRE,2
SUCRE,28
SUCRE,66
SUCRE,11
SUCRE,8
SUCRE,10
SUCRE,22
SUCRE,96
SUCRE,42
TOLIMA,84
TOLIMA,1682
TOLIMA,13
TOLIMA,37
TOLIMA,6
TOLIMA,1
TOLIMA,7
TOLIMA,19
TOLIMA,5
TOLIMA,95
TOLIMA,0
TOLIMA,163
TOLIMA,17
TOLIMA,46
TOLIMA,6
TOLIMA,50
TOLIMA,337
TOLIMA,13
TOLIMA,219
TOLIMA,5
TOLIMA,71
TOLIMA,0
TOLIMA,18
TOLIMA,45
TOLIMA,37
TOLIMA,15
TOLIMA,51
TOLIMA,236
TOLIMA,0
TOLIMA,47
TOLIMA,16
TOLIMA,1
TOLIMA,43
TOLIMA,2
TOLIMA,16
TOLIMA,129
TOLIMA,1
TOLIMA,0
TOLIMA,33
